Name,Description,Department,Total Size,Real Size,Host Key,Named Availability,Weeks,Tags,User Text 3
MED_Short_course,Short Course Program at the School of Medicine offers a wide range of professional development opportunities for Health Professionals in Tasmania and beyond,"Medicine, School of",0,0,MED_Short_course,Year,Jan-52,,
LCA107_H_OTHER_I,"Skills, Ethics and Professional Responsibility","Law, Faculty of",80,0,LCA107_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA106_H_OTHER_I,Family Law Practice and Procedure,"Law, Faculty of",0,0,LCA106_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA105_H_OTHER_I,Trust and Office Accounting,"Law, Faculty of",0,0,LCA105_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA104_H_OTHER_I,Property Law Practice,"Law, Faculty of",0,0,LCA104_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA103_H_OTHER_I,Commercial and Corporate Practice,"Law, Faculty of",0,0,LCA103_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA102_H_OTHER_I,Criminal Law Practice: Magistrates' Court Practice & Advocacy,"Law, Faculty of",0,0,LCA102_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LCA101_H_OTHER_I,Civil Litigation Practice: Supreme Court Practice and Advocacy,"Law, Faculty of",0,0,LCA101_H_OTHER_I,2017_LEGL1_Legal Practice,May-30,,Centre for Legal Studies
LAW703_H_S2_I,Research Thesis A,"Law, Faculty of",15,0,LAW703_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW703_H_S1_I,Research Thesis A,"Law, Faculty of",1,0,LAW703_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW702_H_OTHER_I,"Parliamentary Law, Practice and Procedure","Law, Faculty of",20,0,LAW702_H_OTHER_I,2017_HYP02_Half Year Period 2,27-48,,School of Law
LAW695_H_S1_I,Law and Ethics of Health Care,"Law, School of",0,0,LAW695_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW688_H_S2_I,Sentencing,"Law, Faculty of",50,0,LAW688_H_SEM2_I,[Custom...],"29-35, 37-42",,School of Law
LAW683_H_S2_I,Succession,"Law, School of",0,0,LAW683_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW682_H_S1_I,Family 2 - Financial Aspects of Family Law,"Law, School of",0,0,LAW682_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW681_H_S1_I,Family 1 - the Family and the Child,"Law, Faculty of",50,0,LAW681_H_SEM1_I,[Custom...],Sep-22,,School of Law
