rX,rY,rZ,rSpeed,bX,bY,bSpeed,sX,sY,sZ,sSpeed,dAng,bAng,bZ,bowlerEnd
-8.4318,-0.77637,1.96861,128.231,3.68476,-0.0567101,111.566,10.06,0.287896,0.811844,100.551,11.7455,8.82569,0.0001,south
-8.2814,-0.77308,1.94761,133.671,2.22362,0.0311651,116.066,10.06,0.745782,1.02587,103.17,12.5183,9.36866,0.0001,south
-8.3062,-0.69175,1.93048,130.941,2.25466,0.0547097,114.584,10.06,0.613339,0.966545,101.261,12.2963,9.07234,0.0001,south
-8.3975,-0.833192,1.94558,133.012,3.06809,-0.0283662,115.597,10.06,0.472249,0.857283,102.941,11.9107,8.68158,0.0001,south
-8.2946,-0.646818,1.9743,131.433,4.09058,-0.160166,112.893,10.06,0.141668,0.774699,102.115,11.5827,8.78753,0.0001,south
-8.4884,-0.768941,1.941,136.713,4.04037,0.134692,116.51,10.06,0.5341,0.668126,106.003,11.4871,7.64036,0.0001,south
8.5545,0.733373,1.92197,143.359,-4.19068,0.296456,125.023,-10.06,0.304563,0.68339,114.696,11.0046,7.68501,0.0001,north
8.4334,0.673256,1.91774,140.635,-2.79168,0.22229,121.484,-10.06,0.0340723,0.934568,108.179,11.5338,8.88802,0.0001,north
8.5812,0.722141,1.9188,143.444,-3.97136,0.444283,122.394,-10.06,0.415261,0.695885,110.613,10.9859,7.66585,0.0001,north
8.4129,0.574993,1.9203,142.777,-3.68385,0.279717,124.275,-10.06,0.137948,0.653124,112.59,11.0679,7.03749,0.0001,north
8.7243,0.60523,1.93453,150.065,-6.24186,-0.125135,122.57,-10.06,-0.251725,0.491515,115.487,10.1384,7.69036,0.0001,north
8.346,0.780882,1.90582,142.266,-3.28437,0.29597,126.909,-10.06,0.0401007,0.725082,113.817,10.9402,7.37774,0.0001,north
-8.3703,-0.71764,1.94325,134.037,4.15983,0.325195,115.145,10.06,0.789467,0.754361,111.396,11.2477,8.39065,0.0001,south
-8.6264,-0.7092,1.95363,138.121,5.33017,0.564616,115.642,10.06,0.988124,0.524564,111.861,10.9498,7.21084,0.0001,south
-8.4714,-0.758839,1.95829,140.335,6.91673,0.331879,119.778,10.06,0.531144,0.386653,114.088,10.4274,7.1241,0.0001,south
-8.3765,-0.740777,1.97972,130.152,7.97563,0.416564,100.993,10.06,0.589251,0.338292,97.3024,9.59852,8.94975,0.0001,south
-8.3273,-0.763951,1.93293,136.129,4.28364,0.242788,115.329,10.06,0.682366,0.586388,110.568,11.3894,6.97638,0.0001,south
-8.4951,-0.76894,1.94406,136.348,2.45244,0.0800053,116.954,10.06,0.559985,0.763154,104.87,12.2531,7.54575,0.0001,south
8.416,0.606357,1.90347,142.223,-3.43063,0.0407422,121.906,-10.06,-0.317063,0.832744,109.347,11.2202,8.52384,0.0001,north
8.3456,0.798949,1.87094,145.353,1.2485,0.430133,119.672,-10.06,-0.208628,1.40801,113.094,15.7294,9.82364,0.0001,north
8.336,0.885004,1.85343,146.724,1.4819,0.538338,120.357,-10.06,0.0518529,1.41081,114.334,16.0404,9.37731,0.0001,north
8.3899,0.763851,1.87926,140.7,-2.13636,0.35214,122.288,-10.06,0.0749457,0.972336,107.763,11.7729,8.73232,0.0001,north
8.425,0.745628,1.87133,140.023,-0.45606,0.587575,114.034,-10.06,0.704323,1.28509,111.42,13.2713,9.79254,0.0001,north
8.5271,0.624888,1.92149,140.897,-4.5954,0.247345,121.76,-10.06,0.116152,0.631903,110.979,10.6108,7.52711,0.0001,north
-8.2557,-0.727323,1.96049,132.591,5.54302,0.459192,115.994,10.06,0.86675,0.599946,107.47,10.6344,8.28798,0.0001,south
-8.2458,-0.738126,1.95108,136.638,2.56396,-0.0979204,118.448,10.06,0.305563,0.87422,106.647,12.0892,8.36809,0.0001,south
-8.38,-0.723198,1.93983,137.453,2.25378,0.136697,117.613,10.06,0.724701,0.904864,104.185,12.2855,8.43972,0.0001,south
-8.3144,-0.717442,1.93521,136.027,4.30924,-0.0483544,116.571,10.06,0.215599,0.614838,106.289,11.1248,7.27765,0.0001,south
-8.3658,-0.775989,1.9107,135.003,-1.6332,-0.471183,104.201,10.06,0.00738803,1.65133,97.1909,16.9127,11.5162,0.0001,south
-8.3053,-0.73547,1.93236,134.506,2.71777,-0.015302,116.447,10.06,0.485822,0.890108,103.17,12.0108,8.70363,0.0001,south
