fullName,roomName,,,,,,,
RC01.L02.250 - RCS VC Multi Room A,BH.RC01.L02.250,,,,,,,
"CA01, L02.145 - Dechaineux LT",CA.CA01.L02.145,,,,,,,
"DM02, L02.214 - Domain House 214 LT",DM.DM02.L02.214,,,,,,,
"IR03, L01.108 - Inveresk C108",IR.IR03.L01.108,,,,,,,
"IR01, L01.181 - Inveresk A181",IR.IR01.L01.181,,,,,,,
"AL09, L02.202 - Cradle Coast D202",MR.AL09.L02.202,,,,,,,
"MS01, L01.105 - Med105 LT1",MS.MS01.L01.105,,,,,,,
"MS02, L01.115 - Med115 LT2",MS.MS02.L01.115,,,,,,,
"BE21, L01.138 - Lecture Theatre 5",NH.BE21.L01.138,,,,,,,
"BA25, L02.227 - C227 Human Life Science",NH.BA25.L02.227,,,,,,,
"AZ19, L01.151 - Lecture Theatre 9",NH.AZ19.L01.151,,,,,,,
"AS23, L01.137 - Computing V137",NH.AS23.L01.137,,,,,,,
"A024, L01.141 - Lecture Theatre 7",NH.A024.L01.141,does not exist in S+ 2017,,,,,,
"BF24, L01.150 - Lecture Theatre 1",NH.BF24.L01.150,,,,,,,
"BF24, L02.221 - Education VC Room A221c",NH.BF24.L02.221C,,,,,,,
"BA27, L02.150 - Lecture Theatre 6",NH.BA27.L02.150,,,,,,,
"BF24, L01.153 - Lecture Theatre 2",NH.BF24.L01.153,,,,,,,
"AP30, L02.131 - AMC LT",NH.AP30.L02.131,,,,,,,
"BE21, L01.130 - X130 Flex Room",NH.BE21.L01.130,,,,,,,
"BF24, L00.023 - A023 VC Room",NH.BF24.L00.023,,,,,,,
"RZ02, L01.010 - Rozelle LT",RZ.RZ02.L01.010,suitabilities don’t match,RZ.RZ02.L01.010,LF-Fixed Furniture; LT-LECTHETR; ,220,Full,RZ Room 010 Lecture Theatre,Finance and Administration
SA02.101 - IMAS Lecture Theatre,SA.SA02.101,correct address,SA.SA02.L01.101,,,,,
SA02.107 - IMAS PC Lab,SA.SA02.107,correct address,SA.SA02.L01.107,,,,,
SA02.110 - IMAS Wet Lab,SA.SA02.110,correct address,SA.SA02.L01.110,,,,,
"AL14, L02.229 - Law LT1",SB.AL14.L02.229,,,,,,,
"AL14, L02.226 - Law LT2",SB.AL14.L02.226,,,,,,,
"AL14, L01.132 - Law 132 Flex",SB.AL14.L01.132,,,,,,,
"AS13, L02.229 - Geo229",SB.AS13.L02.229,,,,,,,
" AS13, L02.211 - Geo211 LT",SB.AS13.L02.211,,,,,,,
"AR19, L02.210 - Chem210 LT",SB.AR19.L02.210,,,,,,,
"AX17, L02.209 - SocSci209",SB.AX17.L02.209,,,,,,,
"AX19, L02.208 - UniCentre208 LT1",SB.AX19.L02.208,,,,,,,
"AR15, L04.473 - Computing Cent 473",SB.AR15.L04.473,,,,,,,
"AR15, L01.146 - Centenary 146 LT",SB.AR15.L01.146,,,,,,,
"BA22, L01.106 - LifeSci LT1",SB.BA22.L01.106,,,,,,,
"AP16, L02.201 - Engg201 LT",SB.AP16.L02.201,,,,,,,
"AX16, L02.203 - Arts203 LT",SB.AX16.L02.203,,,,,,,
"AU14, L02.212 - Physics 212 LT1",SB.AU14.L02.212,,,,,,,
"AU14, L03.314 - Physics 314 LT 2",SB.AU14.L03.314,,,,,,,
"AU14, L03.315 - Physics 315 LT 3",SB.AU14.L03.315,,,,,,,
"AX17, L02.210 - SocSci210 VC Room",SB.AX17.L02.210,,,,,,,
L01.132 -- Cent 132 Harvard 1 - VC Dual ,SB.AR15.L01.132,,,,,,,
L01.134 -- Cent 134 Harvard 2 - VC Dual,SB.AR15.L01.134,,,,,,,
L01.101 -- West Park 101 - VC ,WP.WP02.L01.103,,,,,,,
