HOSTKEY,NAME,DEPARTMENT,STATUS,DESCRIPTION,AUDIT_ACTION,AUDIT_STAMP,IN_TRANSFER,SEMESTER,DATA_FLOW,UNIT_CREDIT,ATTRIBUTES,PLANNEDSIZE,NAMED_GROUP,DEPARTMENT_NAME,UNITOFFERINGID
BFA213_H_SEM1_I,BFA213_H_S1_I,BBE,Y,Corporate Regulation and Accountability,U,22/08/2016 12:14:27,0,SEM01,S,12.5,BFA213|1|H|SEM01|1,0,T1SM,TSBE,176172
BFA213_L_SEM1_I,BFA213_L_S1_I,BBE,Y,Corporate Regulation and Accountability,U,22/08/2016 12:14:27,0,SEM01,S,12.5,BFA213|1|L|SEM01|1,0,T1SM,TSBE,176173
KMA404_H_SPR_I,KMA404_H_S5_I,KAE,Y,Honours Research Preparation,U,22/08/2016 15:14:28,0,SPR03,S,50,KMA404|1|H|SPR03|1,0,T1SM,School of Physical Sciences,189662
KNE400_H_SPR_I,KNE400_H_S5_I,KAG,Y,Honours Research Preparation,U,22/08/2016 15:14:28,0,SPR03,S,50,KNE400|1|H|SPR03|1,0,T1SM,School of Engineering and ICT,189664
KPA415_H_SPR_I,KPA415_H_S5_I,KAH,Y,Honours Research Preparation,U,22/08/2016 15:14:28,0,SPR03,S,50,KPA415|1|H|SPR03|1,0,T1SM,School of Biological Sciences,189666
KRA418_H_SPR_I,KRA418_H_S5_I,KAE,Y,Honours Research Preparation,U,22/08/2016 15:14:28,0,SPR03,S,50,KRA418|1|H|SPR03|1,0,T1SM,School of Physical Sciences,189669
KRA418_L_SPR_I,KRA418_L_S5_I,KAE,Y,Honours Research Preparation,U,22/08/2016 15:14:28,0,SPR03,S,50,KRA418|1|L|SPR03|1,0,T1SM,School of Physical Sciences,189670
KXX400_H_SPR_I,KXX400_H_S5_I,KAG,Y,Honours Research Preparation,U,22/08/2016 16:14:30,0,SPR03,S,50,KXX400|1|H|SPR03|1,0,T1SM,School of Engineering and ICT,189673
KXX400_L_SEM1_I,KXX400_L_S1_I,KAG,Y,Honours Research Preparation,U,22/08/2016 16:14:30,0,SEM01,S,50,KXX400|1|L|SEM01|1,0,T1SM,School of Engineering and ICT,189675
KXX400_L_SPR_I,KXX400_L_S5_I,KAG,Y,Honours Research Preparation,U,22/08/2016 16:14:30,0,SPR03,S,50,KXX400|1|L|SPR03|1,0,T1SM,School of Engineering and ICT,189674
