studyPeriod,start,finish
11 Week Session Apr,"Monday, 3 April 2017","Monday, 19 June 2017"
11 Week Session Feb,"Monday, 30 January 2017","Friday, 14 April 2017"
11 Week Session Oct,"Monday, 11 September 2017","Friday, 24 November 2017"
12 Week Session Aug,"Monday, 7 August 2017","Friday, 27 October 2017"
16 Week Session Jul,"Monday, 26 June 2017","Friday, 13 October 2017"
5 Week Session Apr,"Monday, 3 April 2017","Tuesday, 9 May 2017"
5 Week Session Aug,"Monday, 7 August 2017","Sunday, 10 September 2017"
5 Week Session Feb A,"Monday, 23 January 2017","Saturday, 25 February 2017"
5 Week Session Feb B,"Monday, 6 February 2017","Saturday, 11 March 2017"
5 Week Session Jan A,"Monday, 2 January 2017","Saturday, 4 February 2017"
5 Week Session Jan B,"Monday, 16 January 2017","Monday, 20 February 2017"
5 Week Session Jul,"Monday, 17 July 2017","Monday, 21 August 2017"
5 Week Session Jun,"Monday, 5 June 2017","Monday, 10 July 2017"
5 Week Session Mar,"Monday, 13 March 2017","Friday, 21 April 2017"
5 Week Session May,"Monday, 1 May 2017","Friday, 2 June 2017"
5 Week Session Nov,"Monday, 6 November 2017","Friday, 8 December 2017"
5 Week Session Oct,"Monday, 2 October 2017","Friday, 3 November 2017"
5 Week Session Sep,"Monday, 21 August 2017","Monday, 25 September 2017"
8 Week Session Jul,"Monday, 3 July 2017","Friday, 25 August 2017"
8 Week Session May,"Monday, 24 April 2017","Friday, 16 June 2017"
Full Year Period,"Monday, 27 February 2017","Saturday, 21 October 2017"
Half Year Period 1,"Monday, 23 January 2017","Monday, 26 June 2017"
Half Year Period 2,"Monday, 3 July 2017","Monday, 4 December 2017"
Half Year Period 2,"Monday, 3 July 2017","Monday, 4 December 2017"
Intensive Session Feb A,"Monday, 30 January 2017","Saturday, 18 February 2017"
Intensive Session Feb B,"Monday, 6 February 2017","Saturday, 18 February 2017"
Intensive Session Feb C,"Monday, 13 February 2017","Sunday, 19 February 2017"
Intensive Session Jan A,"Monday, 2 January 2017","Saturday, 14 January 2017"
Intensive Session Jan B,"Monday, 9 January 2017","Saturday, 28 January 2017"
Intensive Session Jul,"Monday, 26 June 2017","Wednesday, 5 July 2017"
Intensive Session Jun,"Monday, 19 June 2017","Wednesday, 12 July 2017"
Legal Practice,"Monday, 30 January 2017","Sunday, 30 July 2017"
Mooting Period 1,"Monday, 27 February 2017","Friday, 2 June 2017"
Mooting Period 2,"Monday, 17 July 2017","Friday, 20 October 2017"
Semester 1,"Monday, 27 February 2017","Friday, 2 June 2017"
Semester 2,"Monday, 17 July 2017","Friday, 20 October 2017"
Spring school,"Monday, 23 October 2017","Wednesday, 3 January 2018"
Spring school (extended),"Monday, 30 October 2017","Tuesday, 13 February 2018"
Spring school (late),"Monday, 13 November 2017","Wednesday, 27 December 2017"
Spring school (November),"Monday, 13 November 2017","Saturday, 10 February 2018"
Summer school,"Monday, 2 January 2017","Saturday, 25 February 2017"
Summer school (early),"Monday, 31 October 2016","Tuesday, 14 February 2017"
Unistart Period 1,"Monday, 16 January 2017","Friday, 2 June 2017"
Unistart Period 2,"Monday, 12 June 2017","Friday, 20 October 2017"
Unistart Period 3,"Monday, 11 September 2017","Tuesday, 13 February 2018"
Winter school,"Monday, 5 June 2017","Sunday, 16 July 2017"
Winter school (early),"Monday, 22 May 2017","Thursday, 29 June 2017"
Winter school (late),"Monday, 26 June 2017","Saturday, 16 September 2017"
