StudentID,units
191721,"[u'HPP214\nKSA302\nJFA310' u'JFA112' u'JFA307' u'JFA308' u'JFA309'
 u'JFA310' u'JFA313' u'JFA314' u'JFA318' u'JFA322']"
386622,"[u'HPP214\nKSA302\nJFA310' u'JFA112' u'JFA307' u'JFA308' u'JFA309'
 u'JFA310' u'JFA314' u'JFA318' u'JFA322' u'KSA302']"
417628,"[u'HPP214\nKSA302\nJFA310' u'JFA101' u'JFA108' u'JFA110' u'JFA112'
 u'JFA114' u'JFA207' u'JFA209' u'JFA210' u'JFA213' u'JFA240' u'JFA307'
 u'JFA308' u'JFA309' u'JFA310' u'JFA313' u'JFA314' u'JFA318' u'JFA322'
 u'KSA302']"
431229,"[u'HPP214\nKSA302\nJFA310' u'JFA112' u'JFA207' u'JFA209' u'JFA210'
 u'JFA213' u'JFA240' u'JFA307' u'JFA308' u'JFA309' u'JFA310' u'JFA313'
 u'JFA314' u'JFA318' u'JFA322' u'KSA302']"
80945,"[u'HPP214\nKSA302\nJFA310' u'JFA101' u'JFA108' u'JFA110' u'JFA112'
 u'JFA114' u'JFA207' u'JFA209' u'JFA210' u'JFA213' u'JFA240' u'JFA307'
 u'JFA308' u'JFA309' u'JFA310' u'JFA313' u'JFA314' u'JFA318' u'JFA322'
 u'KSA302']"
388369,"[u'HPP214\nKSA302\nJFA310' u'JFA207' u'JFA209' u'JFA213' u'JFA240'
 u'JFA307' u'JFA308' u'JFA309' u'JFA310' u'JFA313' u'JFA314' u'JFA318'
 u'JFA322' u'KMA153' u'KSA302']"
423095,"[u'HPP214\nKSA302\nJFA310' u'JFA101' u'JFA108' u'JFA110' u'JFA114'
 u'JFA207' u'JFA209' u'JFA210' u'JFA213' u'JFA240' u'JFA307' u'JFA308'
 u'JFA309' u'JFA310' u'JFA313' u'JFA314' u'JFA318' u'JFA322' u'KMA153'
 u'KSA302']"
460080,"[u'HPP214\nKSA302\nJFA310' u'JFA101' u'JFA102' u'JFA104' u'JFA107'
 u'JFA108' u'JFA110' u'JFA112' u'JFA114' u'JFA207' u'JFA209' u'JFA210'
 u'JFA213' u'JFA240' u'JFA307' u'JFA308' u'JFA309' u'JFA310' u'JFA313'
 u'JFA314' u'JFA318' u'JFA322' u'KMA153' u'KSA302']"
419407,"[u'HPP214\nKSA302\nJFA310' u'JFA104' u'JFA112' u'JFA207' u'JFA209'
 u'JFA210' u'JFA213' u'JFA240' u'JFA307' u'JFA308' u'JFA309' u'JFA310'
 u'JFA313' u'JFA314' u'JFA318' u'JFA322' u'KSA302']"
418209,"[u'HPP214\nKSA302\nJFA310' u'JFA101' u'JFA108' u'JFA110' u'JFA112'
 u'JFA114' u'JFA207' u'JFA209' u'JFA210' u'JFA213' u'JFA240' u'JFA307'
 u'JFA308' u'JFA309' u'JFA310' u'JFA313' u'JFA314' u'JFA318' u'JFA322'
 u'KSA302']"
